"시군구별","용도지역및이용현황별","항목","단위","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월",
"중구","기타","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","평균","지가변동률[%]","%","1.104","1.194","1.099",".983",".863",".789",".599","-.255","-3.472","-4.111","-1.021","-.553","-.101",".27",".245",".265",".282",".685",".667",".484",
"용산구","주거지역","지가변동률[%]","%","1.116","1.214","1.084",".935",".821",".752",".583","-.292","-3.695","-4.337","-1.09","-.564","-.109",".301",".281",".295",".289",".654",".671",".497",
"용산구","상업지역","지가변동률[%]","%","1.187","1.144","1.067","1.086",".8",".927",".703","-.141","-2.78","-3.211","-.829","-.507","-.09",".193",".143",".19",".194",".626",".569",".418",
"용산구","공업지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","녹지지역","지가변동률[%]","%",".516","1.025","1.523","1.5","1.971",".966",".479","0","-1.904","-3.398","-.503","-.505","0","0","0","0",".508","1.516",".994",".493",
"용산구","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
