,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표ID :,DT_1C51,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표명 :,경제활동별 지역내총생산,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :, ( 년 : 1985 ~ 2009 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,   [년] 2000 ~ 2008         ,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,통계청 경제통계국 지역소득통계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2011/06/24 09:20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,백만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도별,경제활동별,2000 ,,,2001 ,,,2002 ,,,2003 ,,,2004 ,,,2005 ,,,2006 ,,,2007 ,,,2008 ,,
,,당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100)
,보건업및사회복지서비스업,"3,215,131 ","5,010,481 ",-,"4,372,924 ","4,865,088 ",-,"4,424,966 ","4,982,541 ",-,"4,904,193 ","5,321,731 ",-,"5,427,590 ","5,662,131 ",-,"5,983,844 ","5,983,844 ",-,"6,713,294 ","6,474,190 ",-,"7,490,097 ","6,797,183 ",-,"8,106,996 ","7,192,249 ",-
,"예술,스포츠및여가관련서비스업","1,766,940 ","2,287,702 ",-,"1,976,882 ","2,500,760 ",-,"2,136,831 ","2,693,609 ",-,"2,560,341 ","2,870,588 ",-,"2,515,034 ","2,666,669 ",-,"2,584,946 ","2,584,946 ",-,"2,722,688 ","2,697,569 ",-,"3,027,601 ","2,893,238 ",-,"3,205,172 ","3,026,460 ",-
,기타서비스업,"3,307,806 ","4,081,872 ",-,"3,500,358 ","4,261,138 ",-,"3,715,749 ","4,341,264 ",-,"3,649,389 ","3,948,429 ",-,"3,539,185 ","3,577,410 ",-,"3,769,687 ","3,769,687 ",-,"3,968,219 ","3,856,492 ",-,"4,268,535 ","4,027,715 ",-,"4,550,186 ","4,115,964 ",-
부산광역시,지역내총생산(시장가격),"34,127,020 ","39,276,954 ",80.0 ,"38,123,413 ","41,980,196 ",86.3 ,"40,998,121 ","44,716,153 ",92.1 ,"43,854,809 ","46,712,833 ",96.5 ,"45,984,442 ","46,719,868 ",97.1 ,"48,068,574 ","48,068,574 ",100.0 ,"49,433,567 ","49,726,344 ",103.4 ,"52,679,517 ","52,097,835 ",108.2 ,"56,182,324 ","52,739,397 ",109.3 
,순생산물세,"2,887,536 ","3,044,419 ",-,"3,283,688 ","3,302,099 ",-,"4,109,969 ","4,202,469 ",-,"4,448,428 ","4,477,128 ",-,"4,150,077 ","4,130,390 ",-,"4,270,066 ","4,270,066 ",-,"4,579,182 ","4,566,690 ",-,"4,623,175 ","4,626,857 ",-,"4,534,316 ","4,362,792 ",-
,총부가가치(기초가격),"31,239,484 ","36,232,535 ",-,"34,839,725 ","38,678,097 ",-,"36,888,152 ","40,513,684 ",-,"39,406,381 ","42,235,705 ",-,"41,834,365 ","42,589,478 ",-,"43,798,508 ","43,798,508 ",-,"44,854,385 ","45,159,654 ",-,"48,056,342 ","47,470,978 ",-,"51,648,008 ","48,376,605 ",-
,농림어업,"566,456 ","600,483 ",-,"590,549 ","618,780 ",-,"540,267 ","507,294 ",-,"623,950 ","566,130 ",-,"548,662 ","480,328 ",-,"469,474 ","469,474 ",-,"411,432 ","441,939 ",-,"412,074 ","457,042 ",-,"458,879 ","498,447 ",-
,광업,"10,916 ","11,750 ",-,"13,624 ","9,308 ",-,"13,041 ","8,991 ",-,"12,074 ","9,706 ",-,"8,834 ","10,295 ",-,"11,539 ","11,539 ",-,"6,113 ","7,070 ",-,"5,848 ","6,072 ",-,"7,487 ","7,222 ",-
,제조업,"6,065,667 ","6,433,902 ",-,"6,515,871 ","6,935,721 ",-,"6,732,923 ","7,640,212 ",-,"6,127,092 ","7,541,284 ",-,"6,791,026 ","7,186,678 ",-,"7,528,645 ","7,528,645 ",-,"7,824,155 ","8,161,643 ",-,"8,384,457 ","9,026,549 ",-,"9,822,443 ","9,389,153 ",-
,　기초소재형,"1,924,954 ","2,291,410 ",-,"2,071,926 ","2,250,351 ",-,"2,246,389 ","2,304,481 ",-,"1,982,691 ","2,400,919 ",-,"2,234,396 ","2,295,052 ",-,"2,354,399 ","2,354,399 ",-,"2,262,093 ","2,474,496 ",-,"2,404,822 ","2,510,736 ",-,"2,858,136 ","2,562,177 ",-
